 box   500.00000000000000        1769.8773448773450        0.0000000000000000     
 node   125.03117573876955        884.51140619341083        0.0000000000000000      random
 node   374.18763747546956        886.13509174363139        0.0000000000000000      random
 node   82.607949085406034        1092.8910533090609        0.0000000000000000      random
 node   250.30128927116712        1093.3616295400352        0.0000000000000000      random
 node   416.39517288280030        1093.2189272262030        0.0000000000000000      random
 node   62.157083328475998        1239.5459083928736        0.0000000000000000      random
 node   187.05527354856446        1238.6474596533342        0.0000000000000000      random
 node   311.97392546112923        1238.8373411980479        0.0000000000000000      random
 node   437.78804484961455        1238.9966571133759        0.0000000000000000      random
 node   49.806927249542909        1352.0830257211435        0.0000000000000000      random
 node   150.02321438919824        1351.4864248190661        0.0000000000000000      random
 node   249.73007951584341        1351.4816776054822        0.0000000000000000      random
 node   349.77789511134540        1351.1638689584381        0.0000000000000000      random
 node   450.40544404744571        1351.4151934482852        0.0000000000000000      random
 node   41.997986178427617        1443.0941144921753        0.0000000000000000      random
 node   125.16680114253499        1443.5203811769247        0.0000000000000000      random
 node   207.92675573492457        1443.0279433225141        0.0000000000000000      random
 node   291.71173031133839        1443.3327052099471        0.0000000000000000      random
 node   375.15611284204408        1443.1483536970909        0.0000000000000000      random
 node   458.51633564913357        1443.4213128710285        0.0000000000000000      random
 node   36.039819986196640        1520.6246011160079        0.0000000000000000      random
 node   106.82965451526782        1520.4253429237624        0.0000000000000000      random
 node   178.77092121960550        1520.3985541833410        0.0000000000000000      random
 node   250.19244165859899        1520.4756438935756        0.0000000000000000      random
 node   321.67905694566070        1520.5909533268602        0.0000000000000000      random
 node   392.53616875147407        1520.7894973669690        0.0000000000000000      random
 node   464.62534507323613        1520.3660210354633        0.0000000000000000      random
 node   31.109178364393912        1587.7092834415575        0.0000000000000000      random
 node   93.774002459550076        1587.5923415593486        0.0000000000000000      random
 node   156.26256649138986        1587.4546843865735        0.0000000000000000      random
 node   218.67648124125236        1587.8614134043296        0.0000000000000000      random
 node   281.55709753423059        1587.8141462553981        0.0000000000000000      random
 node   343.83136763149378        1587.6088645115078        0.0000000000000000      random
 node   406.44890279461288        1587.9128793973032        0.0000000000000000      random
 node   468.72533155766041        1587.5669137040729        0.0000000000000000      random
 node   27.992461253023027        1646.8718617059451        0.0000000000000000      random
 node   83.484400032371283        1646.6679268165583        0.0000000000000000      random
 node   138.69672528233934        1646.5198764040640        0.0000000000000000      random
 node   194.21266748496285        1646.6021148987236        0.0000000000000000      random
 node   250.08985108156517        1646.3718938673455        0.0000000000000000      random
 node   305.37575555926009        1646.6456161149777        0.0000000000000000      random
 node   360.90389346390464        1646.4844069311207        0.0000000000000000      random
 node   416.82321415942448        1646.3977904401054        0.0000000000000000      random
 node   472.02776033578368        1646.3749733088393        0.0000000000000000      random
 node   25.182969321383474        1699.3700520919274        0.0000000000000000      random
 node   75.093681299872159        1699.5283517900989        0.0000000000000000      random
 node   124.92052020904028        1699.3871460381017        0.0000000000000000      random
 node   175.23757626919738        1699.4543812103934        0.0000000000000000      random
 node   225.14537537896990        1699.4058858570177        0.0000000000000000      random
 node   275.16916865582959        1699.3511336445467        0.0000000000000000      random
 node   324.76395265110023        1699.3146499783629        0.0000000000000000      random
 node   374.77060364613328        1699.3814364371826        0.0000000000000000      random
 node   425.07321348821796        1699.4584127726766        0.0000000000000000      random
 node   474.78694905240513        1699.3994437501601        0.0000000000000000      random
 node   22.586331062210743        1747.2144821116779        0.0000000000000000      random
 node   68.303352310368851        1747.2200921346275        0.0000000000000000      random
 node   113.48280370075585        1747.0350108115488        0.0000000000000000      random
 node   159.09685474714209        1747.2886977976614        0.0000000000000000      random
 node   204.42160040351453        1747.3696156105902        0.0000000000000000      random
 node   249.95212071931800        1747.1558361670200        0.0000000000000000      random
 node   295.28017658753993        1746.9441702014815        0.0000000000000000      random
 node   340.92782081079008        1747.3268995718049        0.0000000000000000      random
 node   386.41695042318128        1747.0765832019065        0.0000000000000000      random
 node   431.65847391937530        1746.9562791541480        0.0000000000000000      random
 node   477.13259604655292        1747.2721251703115        0.0000000000000000      random
 node   84.053095407939281        676.99457473009193        0.0000000000000000      random
 node   250.39783038917966        677.25447613686015        0.0000000000000000      random
 node   416.05967731783028        677.01831713500269        0.0000000000000000      random
 node   62.749418760665655        530.26654195829963        0.0000000000000000      random
 node   187.28379729561689        530.39486693067420        0.0000000000000000      random
 node   312.92589197381494        530.93721477894474        0.0000000000000000      random
 node   437.98678217001242        530.30123888268599        0.0000000000000000      random
 node   49.967494055197115        418.43384296979769        0.0000000000000000      random
 node   149.57635843377273        418.73205761197715        0.0000000000000000      random
 node   249.68110057180735        417.77248757343983        0.0000000000000000      random
 node   350.17126142307882        418.07445640999703        0.0000000000000000      random
 node   449.90243326003758        418.61272877198758        0.0000000000000000      random
 node   41.922840089471670        326.42450176119820        0.0000000000000000      random
 node   124.63215296084144        326.91419205141489        0.0000000000000000      random
 node   207.98140943169349        326.62066498501110        0.0000000000000000      random
 node   291.67394810546062        326.67527361218703        0.0000000000000000      random
 node   375.00701899995215        326.84953204570473        0.0000000000000000      random
 node   458.47824754321073        326.40844312428021        0.0000000000000000      random
 node   35.478735011969192        249.42323485924186        0.0000000000000000      random
 node   107.02265786278470        249.04699117181462        0.0000000000000000      random
 node   178.76258028124496        249.03820395479767        0.0000000000000000      random
 node   250.27472342705468        248.90532035327249        0.0000000000000000      random
 node   321.24956500800175        248.94965590206868        0.0000000000000000      random
 node   392.99077383315006        248.99022965355732        0.0000000000000000      random
 node   464.48196388000468        249.48752084632639        0.0000000000000000      random
 node   31.281411920635588        182.51869002415174        0.0000000000000000      random
 node   93.780678858778813        181.99255930025765        0.0000000000000000      random
 node   156.29479342021759        182.05763031087713        0.0000000000000000      random
 node   218.91859579753083        182.36165633136170        0.0000000000000000      random
 node   281.10859541428550        181.96633915119901        0.0000000000000000      random
 node   343.95708502526855        182.02520721311726        0.0000000000000000      random
 node   406.47381027601153        182.27103822009610        0.0000000000000000      random
 node   468.52825476573264        182.21570231834266        0.0000000000000000      random
 node   27.971362362167802        123.28756655520010        0.0000000000000000      random
 node   83.526820948807128        123.22438357468695        0.0000000000000000      random
 node   138.92953373452417        123.02903354729017        0.0000000000000000      random
 node   194.57232695283176        123.45164870595534        0.0000000000000000      random
 node   250.17553435794287        122.98852994622393        0.0000000000000000      random
 node   305.68069018455157        123.00160136186582        0.0000000000000000      random
 node   361.22505085910541        123.34572618163259        0.0000000000000000      random
 node   416.76540430906795        123.47251420436703        0.0000000000000000      random
 node   472.04809161594989        123.33737787128211        0.0000000000000000      random
 node   24.983793238784575        70.492182730312948        0.0000000000000000      random
 node   74.880288880110882        70.516759422679456        0.0000000000000000      random
 node   125.23062964151563        70.497312645361376        0.0000000000000000      random
 node   174.89989247698975        70.314369871543931        0.0000000000000000      random
 node   225.12927328680559        70.617660864820095        0.0000000000000000      random
 node   274.94054444043007        70.641113924581418        0.0000000000000000      random
 node   324.97430241196514        70.502242809543191        0.0000000000000000      random
 node   374.80437700477017        70.403863278591643        0.0000000000000000      random
 node   425.12352103683332        70.639450913776386        0.0000000000000000      random
 node   475.16578679493648        70.648838662157914        0.0000000000000000      random
 node   22.716783480805493        22.524495221494931        0.0000000000000000      random
 node   68.263348892740822        22.800323213430488        0.0000000000000000      random
 node   113.83399033358434        22.555694452004218        0.0000000000000000      random
 node   159.25396561214404        22.940362321065550        0.0000000000000000      random
 node   204.51004427058496        22.713170243900663        0.0000000000000000      random
 node   250.13586986615317        22.599751656198009        0.0000000000000000      random
 node   295.64163331549008        22.897554548704420        0.0000000000000000      random
 node   341.08883648347819        22.667763478306597        0.0000000000000000      random
 node   386.39596851206193        22.859017101623181        0.0000000000000000      random
 node   432.01696799322212        22.799167057087061        0.0000000000000000      random
 node   477.31006228264471        22.818177383043576        0.0000000000000000      random
